Date,Closing price
31/05/2022,35300.0
30/05/2022,37750.0
27/05/2022,37650.0
26/05/2022,37900.0
25/05/2022,38300.0
24/05/2022,37000.0
23/05/2022,34600.0
20/05/2022,34600.0
19/05/2022,34300.0
18/05/2022,34400.0
17/05/2022,34900.0
16/05/2022,33200.0
13/05/2022,32000.0
12/05/2022,32400.0
11/05/2022,33100.0
10/05/2022,31900.0
09/05/2022,29850.0
06/05/2022,55200.0
05/05/2022,56100.0
04/05/2022,57900.0
29/04/2022,58100.0
28/04/2022,58200.0
27/04/2022,56900.0
26/04/2022,53200.0
25/04/2022,53100.0
22/04/2022,57000.0
21/04/2022,57600.0
20/04/2022,57000.0
19/04/2022,60400.0
18/04/2022,60900.0
15/04/2022,60900.0
14/04/2022,61300.0
13/04/2022,62300.0
12/04/2022,59800.0
08/04/2022,59800.0
07/04/2022,60500.0
06/04/2022,61600.0
05/04/2022,62400.0
04/04/2022,62500.0
01/04/2022,62500.0
31/03/2022,62000.0
30/03/2022,60000.0
29/03/2022,61800.0
28/03/2022,62000.0
25/03/2022,62900.0
24/03/2022,62600.0
23/03/2022,62100.0
22/03/2022,61800.0
21/03/2022,62400.0
18/03/2022,63700.0
17/03/2022,64300.0
16/03/2022,62500.0
15/03/2022,63900.0
14/03/2022,62500.0
11/03/2022,61800.0
10/03/2022,59300.0
09/03/2022,59100.0
08/03/2022,59200.0
07/03/2022,62200.0
04/03/2022,62700.0
03/03/2022,61500.0
02/03/2022,57500.0
01/03/2022,56700.0
28/02/2022,57000.0
25/02/2022,57900.0
24/02/2022,56300.0
23/02/2022,56500.0
22/02/2022,55000.0
21/02/2022,57000.0
18/02/2022,58000.0
17/02/2022,58900.0
16/02/2022,56800.0
15/02/2022,54100.0
14/02/2022,54800.0
11/02/2022,55000.0
10/02/2022,55400.0
09/02/2022,54500.0
08/02/2022,55500.0
07/02/2022,55000.0
28/01/2022,53800.0
27/01/2022,53900.0
26/01/2022,54400.0
25/01/2022,55000.0
24/01/2022,54300.0
21/01/2022,58300.0
20/01/2022,59600.0
19/01/2022,61000.0
18/01/2022,60000.0
17/01/2022,59500.0
14/01/2022,60100.0
13/01/2022,60900.0
12/01/2022,57000.0
11/01/2022,53300.0
10/01/2022,54300.0
07/01/2022,53700.0
06/01/2022,50200.0
05/01/2022,47000.0
04/01/2022,43950.0
31/12/2021,41100.0
30/12/2021,42400.0
29/12/2021,42500.0
28/12/2021,44000.0
27/12/2021,44500.0
24/12/2021,42750.0
23/12/2021,42300.0
22/12/2021,42200.0
21/12/2021,41950.0
20/12/2021,42800.0
17/12/2021,43000.0
16/12/2021,43800.0
15/12/2021,40950.0
14/12/2021,38300.0
13/12/2021,35800.0
10/12/2021,33500.0
09/12/2021,31350.0
08/12/2021,29300.0
07/12/2021,27400.0
06/12/2021,25650.0
03/12/2021,24000.0
